Question	Ground Truth	Oracle Answer	Judgment
How many years earlier would Punxsutawney Phil have to be canonically alive to have made a Groundhog Day prediction in the same state as the US capitol?	87	Punxsutawney Phil is said to have been making predictions since 1886. The U.S. Capitol, being in Washington, D.C., means we need to find the nearest state to Washington, D.C., where Groundhog Day predictions occur. The closest state with a significant Groundhog Day prediction tradition is Pennsylvania, where Punxsutawney Phil resides.  Washington, D.C. was established in 1790, so if Punxsutawney Phil were to have hypothetically started making predictions in the same state as the U.S. Capitol (meaning in Pennsylvania) at the same time as the Capitol's establishment, Phil would have had to be canonically alive since 1790 to have made predictions in Pennsylvania from the very beginning of the Capitol's existence.  Thus, Punxsutawney Phil would have to be canonically alive **1886 - 1790 = 96 years earlier** to have made a Groundhog Day prediction in the same state as the U.S. Capitol from its inception.	no
What is the name of the vocalist from the first band to make it in the top 200 under the record label that produced the third studio album for Dismal Euphony?	Jens Kidman	The vocalist from the first band to make it in the top 200 under the record label that produced the third studio album for Dismal Euphony is Jens Kidman from the band Meshuggah. Meshuggah was the first Nuclear Blast band to appear on the Billboard 200, and Nuclear Blast produced Dismal Euphony's third studio album, "All Little Devils."	yes
As of Aug 3, 2024, the artist who released the album "Father of Asahd" went to the same high school as an Olympic diver. How many Olympic teams did this diver participate on?	2	The artist who released the album "Father of Asahd" is DJ Khaled, and he attended Dr. Phillips High School. Mark Ruiz, an Olympic diver who also attended Dr. Phillips High School, participated on two Olympic teams: the 2000 Olympic team and the 2004 Olympic team. Therefore, the answer to the question is that the diver participated on 2 Olympic teams.	yes
The Pope born Pietro Barbo ended a long-running war two years after his papacy began, which famous conflict, immortalized in tapestry took place 400 years earlier?	The Battle of Hastings.	The famous conflict that took place 400 years earlier and is immortalized in the Bayeux Tapestry is the Battle of Hastings in 1066. Pope Paul II, born Pietro Barbo, ended the Thirteen Years' War in 1466, two years after the beginning of his papacy in 1464. The Thirteen Years' War was from 1454 to 1466, while the Battle of Hastings occurred in 1066.	yes
An Australian artist, born the same year as artist Janet Cumbrae Stewart and fellow member of the Melbourne Society of Women Painters and Sculptors, had her painting featured on the cover of Women's World Magazine in 1923. What is the name of the painting?	Reve d'Or	The name of the painting that was featured on the cover of Women's World Magazine in 1923 by the Australian artist born the same year as Janet Cumbrae Stewart and who was a member of the Melbourne Society of Women Painters and Sculptors is 'Reve d'Or'. The artist in question is Dora Wilson.	yes
The Basibasy mine is located in Madagascar. This mine is abundant in a specific chemical element that was discovered for the first time in 1791. The person who discovered this element was born on what is now known as a major US holiday - what holiday is this?	Christmas	The chemical element discovered in 1791 that is associated with the Basibasy mine, which is rich in titanium, was discovered by William Gregor. William Gregor was born on December 25, which is now known as Christmas Day, a major US holiday. Therefore, the holiday is Christmas.	yes
One of Barbara Kingsolver's best known novels is about an American missionary family which moves to Africa. At the time, the country they move to was a Belgian colony. Which year did it become independent?	1960	The novel in question is "The Poisonwood Bible," which is about an American missionary family that moves to the Belgian Congo. The Belgian Congo became independent in 1960. Therefore, the year the country they moved to became independent is 1960.	yes
Which football player got 15 or more assists in La Liga during the 2010-2011 season and also played for Arsenal at one point in his career?	This was Mesut Ozil.	Based on the provided context, Mesut Özil is the football player who fits the criteria:  - He got 15 or more assists in La Liga during the 2010-2011 season while playing for Real Madrid. - He also played for Arsenal at one point in his career, joining the club in 2013.  So Mesut Özil is the correct answer to the question.	yes
In Slovakia there is a well known Film Festival called the Bratistlava International Film Festival. What city/ town was the film editor for the Grand Prix winner of 2003 born in?	Roudnice nad Labem	The Grand Prix winner of the 2003 Bratislava International Film Festival was "Bored in Brno," directed by Vladimír Morávek. However, the question asks about the birthplace of the film editor for this Grand Prix-winning film. According to the provided information, the editor for "Bored in Brno" was Jiří Brožek, who was born in Roudnice nad Labem, Czech Republic. Therefore, the answer to the question is Roudnice nad Labem.	yes
In August of 2024, what is the first name of the mayor of the U.S. state capital city who attended the same university as at least one U.S. president and whose city is home to an outgoing or former full member of the Big 12 Conference	Leirion	Leirion  The mayor in question is Leirion Gaylor Baird, the mayor of Lincoln, Nebraska, which is the capital city of the U.S. state of Nebraska. She attended Yale College, which is the same university that several U.S. presidents have attended. Additionally, Lincoln is home to the University of Nebraska-Lincoln, an outgoing full member of the Big 12 Conference at that time, as Oklahoma and Texas were set to leave the conference in July 2024.	yes
